gene_accession,type,class,mechanism,group,snp,gene_family,product_name,enhanced_class,enhanced_subclass
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S,RequiresSNPConfirmation,Unknown,Unknown,Unknown,Unknown
MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,Unknown,Unknown,Unknown,Unknown
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,aac(2')-IIa,kasugamycin N-acetyltransferase AAC(2')-IIa,Aminoglycoside,Kasugamycin
MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,Unknown,Unknown,Unknown,Unknown
MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,aac(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,Aminoglycoside,Kasugamycin
MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,aac(2')-Ia,aminoglycoside N-acetyltransferase AAC(2')-Ia,Aminoglycoside,Gentamicin/Tobramycin
MEG_18|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,aac(2')-Ib,aminoglycoside N-acetyltransferase AAC(2')-Ib,Aminoglycoside,Gentamicin/Tobramycin
MEG_19|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,,aac(2')-Id,aminoglycoside N-acetyltransferase AAC(2')-Id,Aminoglycoside,Gentamicin/Tobramycin
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,Aminoglycoside,Gentamicin
MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,Aminoglycoside,Gentamicin
MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,Aminoglycoside,Gentamicin
MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,Aminoglycoside,Aminoglycoside
MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,Aminoglycoside,Gentamicin
MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,Aminoglycoside,Aminoglycoside
MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,Aminoglycoside,Aminoglycoside
MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,Aminoglycoside,Gentamicin
MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,Aminoglycoside,Gentamicin
MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,Aminoglycoside,Gentamicin
MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,Aminoglycoside,Gentamicin
MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,Aminoglycoside,Gentamicin
MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,Aminoglycoside,Gentamicin
MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,Aminoglycoside,Gentamicin
MEG_42|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-XI,aminoglycoside N-acetyltransferase AAC(3)-XI,Aminoglycoside,Aminoglycoside
MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Xa,aminoglycoside N-acetyltransferase AAC(3)-Xa,Aminoglycoside,Aminoglycoside
MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IVa,aminoglycoside N-acetyltransferase AAC(3)-IVa,Aminoglycoside,Apramycin/Gentamicin/Tobramycin
MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIIc,aminoglycoside N-acetyltransferase AAC(3)-IIIc,Aminoglycoside,Gentamicin
MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIIb,aminoglycoside N-acetyltransferase AAC(3)-IIIb,Aminoglycoside,Gentamicin
